observability-48h scrape host=api.simplevpbot.ir window=48h
target=api-health status=up error_rate=0.0% samples=360
target=api-health status=up error_rate=0.1% samples=360
target=api-health status=up error_rate=0.2% samples=360
target=api-health status=up error_rate=0.3% samples=360
target=api-health status=up error_rate=0.4% samples=360
target=api-health status=up error_rate=0.5% samples=360
target=api-health status=up error_rate=0.6% samples=360
target=api-health status=up error_rate=0.7% samples=360
target=api-health status=up error_rate=0.8% samples=360
target=api-health status=up error_rate=0.9% samples=360
target=api-health status=up error_rate=0.10% samples=360
target=api-health status=up error_rate=0.11% samples=360
